x,y,z,qx,qy,qz,qw,speed
89677.4,43165.3,0,0,0,-0.509104,0.860705,8.33333
89678.9,43162.7,0,0,0,-0.601335,0.798997,8.33333
89679.7,43159.8,0,0,0,-0.706174,0.708039,8.33333
89680.4,43157.1,0,0,0,-0.727389,0.686226,8.33333
89680.2,43153.9,0,0,0,-0.949687,0.313201,8.33333
89677.9,43150.6,-2.96688e-05,0,0,-0.964677,0.263436,8.33333
89675.7,43148.8,0,0,0,-0.968387,0.249452,8.33333
89672.9,43147.2,0,0,0,-0.993017,0.117967,8.33333
89669.9,43146.5,0,0,0,0.988412,0.151795,8.33333
89666.6,43146.9,0,0,0,0.997439,0.0715284,8.33333
89662.8,43147.5,0,0,0,-0.965666,0.259788,8.33333
89659.5,43147,0,0,0,-0.82947,0.558552,8.33333
89657.1,43144.6,0,0,0,-0.790214,0.612831,8.33333
89656.2,43141.1,0,0,0,-0.68692,0.726733,8.33333
89656.4,43137.8,0,0,0,-0.635059,0.772463,8.33333
89657.1,43134.3,0,0,0,-0.79984,0.600214,8.33333
89657.7,43131.1,0,0,0,-0.901569,0.432634,8.33333
89658,43127.7,0,0,0,-0.92843,0.371507,8.33333
89656.8,43124.6,0,0,0,-0.973809,0.227366,8.33333
89654.8,43122.4,0,0,0,-0.993921,0.110092,8.33333
89652.2,43120.4,0,0,0,0.991778,0.12797,8.33333
89648.8,43120.1,0,0,0,0.984474,0.175531,8.33333
89645.4,43120.5,0,0,0,0.991935,0.126747,8.33333
